Gambia,3,0,1,0,0,2,0,1.0,0.4,Mar 16
Sri Lanka,106,0,0,0,9,97,5,5.0,0.0,Jan 26
Nepal,4,0,0,0,1,3,0,0.1,0.0,Jan 23
Kazakhstan,204,54,1,0,14,189,0,11.0,0.05,Mar 12
Diamond Princess,712,0,10,0,597,105,15,0.0,0.0,Feb 04
Bahrain,473,7,4,0,254,215,1,278.0,2.0,Feb 23
Grenada,7,0,0,0,0,7,0,62.0,0.0,Mar 21
French Polynesia,30,0,0,0,0,30,0,107.0,0.0,Mar 10
Ukraine,311,1,8,3,5,298,0,7.0,0.2,Mar 02
Trinidad and Tobago,66,0,2,0,1,63,0,47.0,1.0,Mar 11
New Caledonia,15,0,0,0,0,15,0,53.0,0.0,Mar 17
Ivory Coast,101,0,0,0,3,98,0,4.0,0.0,Mar 10
India,944,57,20,0,84,840,0,0.7,0.01,Jan 29
Uganda,23,0,0,0,0,23,0,0.5,0.0,Mar 20
Canada,4757,0,55,0,354,4348,120,126.0,1.0,Jan 24
Guatemala,32,4,1,0,4,27,1,2.0,0.06,Mar 12
Kyrgyzstan,58,0,0,0,0,58,0,9.0,0.0,Mar 17
Iceland,890,0,2,0,97,791,18,2608.0,6.0,Feb 27
Djibouti,12,0,0,0,0,12,0,12.0,0.0,Mar 17
Jamaica,30,4,1,0,2,27,0,10.0,0.3,Mar 09
Bermuda,17,0,0,0,2,15,0,273.0,0.0,Mar 17
Angola,4,0,0,0,0,4,0,0.1,0.0,Mar 19
Slovenia,632,0,9,0,10,613,14,304.0,4.0,Mar 03
Mauritania,5,2,0,0,0,5,0,1.0,0.0,Mar 12
Namibia,8,0,0,0,2,6,0,3.0,0.0,Mar 13
Dominica,11,0,0,0,0,11,0,153.0,0.0,Mar 21
France,32964,0,1995,0,5700,25269,3787,505.0,31.0,Jan 23
Nigeria,81,11,1,0,3,77,0,0.4,0.0,Feb 27
Morocco,358,13,23,0,11,324,1,10.0,0.6,Mar 01
Hungary,343,43,11,1,34,298,6,36.0,1.0,Mar 03
Armenia,372,43,1,0,28,343,6,126.0,0.3,Feb 29
Kuwait,225,0,0,0,57,168,11,53.0,0.0,Feb 23
Nicaragua,4,0,1,0,0,3,0,0.6,0.2,Mar 18
Saint Martin,11,0,0,0,0,11,0,284.0,0.0,Feb 29
Hong Kong,519,0,4,0,111,404,5,69.0,0.5,Jan 22
St. Barth,5,0,0,0,0,5,0,506.0,0.0,Feb 29
Mexico,717,132,12,4,4,701,1,6.0,0.09,Feb 27
Mozambique,7,0,0,0,0,7,0,0.2,0.0,Mar 21
Denmark,2046,0,52,0,1,1993,109,353.0,9.0,Feb 26
Aruba,33,0,0,0,1,32,0,309.0,0.0,Mar 12
Zimbabwe,5,0,1,0,0,4,0,0.3,0.07,Mar 19
Jordan,235,0,1,0,18,216,0,23.0,0.1,Mar 01
Italy,86498,0,9134,0,10950,66414,3732,1431.0,151.0,Jan 29
Finland,1165,124,7,0,10,1148,32,210.0,1.0,Jan 28
UAE,405,0,2,0,52,351,2,41.0,0.2,Jan 28
Cuba,80,0,2,0,4,74,2,7.0,0.2,Mar 10
New Zealand,451,83,0,0,50,401,2,94.0,0.0,Feb 27
Guyana,5,0,1,0,0,4,0,6.0,1.0,Mar 11
World,602136,5824,27456,115,133520,441160,23563,77.2,3.5,Jan 10
Ecuador,1627,0,41,0,3,1583,58,92.0,2.0,Feb 28
Norway,3780,9,19,0,7,3754,70,697.0,4.0,Feb 25
Liberia,3,0,0,0,0,3,0,0.6,0.0,Mar 15
Latvia,305,25,0,0,1,304,3,162.0,0.0,Mar 01
Seychelles,7,0,0,0,0,7,0,71.0,0.0,Mar 13
Congo,4,0,0,0,0,4,0,0.7,0.0,Mar 14
Romania,1292,0,26,0,115,1151,32,67.0,1.0,Feb 25
Turkey,5698,0,92,0,42,5564,241,68.0,1.0,Mar 09
Bosnia and Herzegovina,237,0,4,0,5,228,1,72.0,1.0,Mar 04
Mayotte,50,0,0,0,0,50,0,183.0,0.0,Mar 13
