Austria,7712,15,58,0,225,7429,128,856.0,6.0,Feb 24
Saint Kitts and Nevis,2,0,0,0,0,2,0,38.0,0.0,Mar 24
MS Zaandam,2,0,0,0,0,2,0,0.0,0.0,Mar 26
Afghanistan,110,0,4,0,2,104,0,3.0,0.1,Feb 23
Gabon,7,0,1,0,0,6,0,3.0,0.4,Mar 12
South Africa,1170,0,1,0,31,1138,7,20.0,0.02,Mar 04
Ghana,137,0,4,0,2,131,1,4.0,0.1,Mar 11
USA,104256,130,1704,8,2525,100027,2494,315.0,5.0,Jan 20
Brunei,115,0,1,1,11,103,1,263.0,2.0,Mar 08
Haiti,8,0,0,0,0,8,0,0.7,0.0,Mar 19
Singapore,732,0,2,0,183,547,17,125.0,0.3,Jan 22
Benin,6,0,0,0,0,6,0,0.5,0.0,Mar 15
Syria,5,0,0,0,0,5,0,0.3,0.0,Mar 21
Niger,10,0,1,0,0,9,0,0.4,0.04,Mar 18
Belize,2,0,0,0,0,2,0,5.0,0.0,Mar 22
Egypt,536,0,30,0,116,390,0,5.0,0.3,Feb 13
Eritrea,6,0,0,0,0,6,0,2.0,0.0,Mar 20
Bosnia and Herzegovina,237,0,4,0,5,228,1,72.0,1.0,Mar 04
India,918,31,20,0,83,815,0,0.7,0.01,Jan 29
Georgia,85,2,0,0,14,71,1,21.0,0.0,Feb 25
Lithuania,382,24,5,0,1,376,2,140.0,2.0,Feb 27
Sudan,5,2,1,0,0,4,0,0.1,0.02,Mar 12
Trinidad and Tobago,66,0,2,0,1,63,0,47.0,1.0,Mar 11
San Marino,223,0,21,0,6,196,15,6572.0,619.0,Feb 26
Kuwait,225,0,0,0,57,168,11,53.0,0.0,Feb 23
Cayman Islands,8,0,1,0,0,7,0,122.0,15.0,Mar 12
Honduras,95,27,1,0,3,91,4,10.0,0.1,Mar 10
Guyana,5,0,1,0,0,4,0,6.0,1.0,Mar 11
Norway,3780,9,19,0,7,3754,70,697.0,4.0,Feb 25
Estonia,575,0,1,0,11,563,7,433.0,0.8,Feb 26
Belarus,94,0,0,0,32,62,2,10.0,0.0,Feb 27
Cuba,80,0,2,0,4,74,2,7.0,0.2,Mar 10
Mayotte,50,0,0,0,0,50,0,183.0,0.0,Mar 13
Iran,32332,0,2378,0,11133,18821,2893,385.0,28.0,Feb 18
Greece,966,0,28,0,52,886,66,93.0,3.0,Feb 25
Romania,1292,0,26,0,115,1151,32,67.0,1.0,Feb 25
Channel Islands,88,0,1,0,0,87,0,506.0,6.0,Mar 08
Bulgaria,313,20,4,1,9,300,8,45.0,0.6,Mar 06
Guinea-Bissau,2,0,0,0,0,2,0,1.0,0.0,Mar 24
World,601967,5655,27456,115,133519,440992,23563,77.2,3.5,Jan 10
Israel,3460,425,12,0,89,3359,50,400.0,1.0,Feb 20
Antigua and Barbuda,7,0,0,0,0,7,0,71.0,0.0,Mar 12
Angola,4,0,0,0,0,4,0,0.1,0.0,Mar 19
Djibouti,12,0,0,0,0,12,0,12.0,0.0,Mar 17
Seychelles,7,0,0,0,0,7,0,71.0,0.0,Mar 13
Slovakia,269,0,0,0,2,267,1,49.0,0.0,Mar 05
Algeria,409,0,26,0,29,354,0,9.0,0.6,Feb 24
Costa Rica,263,0,2,0,3,258,5,52.0,0.4,Mar 04
Slovenia,632,0,9,0,10,613,14,304.0,4.0,Mar 03
Morocco,358,13,23,0,11,324,1,10.0,0.6,Mar 01
Philippines,1075,272,68,14,35,972,1,10.0,0.6,Jan 29
Nepal,4,0,0,0,1,3,0,0.1,0.0,Jan 23
Ireland,2121,0,22,0,5,2094,59,430.0,4.0,Feb 28
Suriname,8,0,0,0,0,8,0,14.0,0.0,Mar 12
Paraguay,56,4,3,0,1,52,1,8.0,0.4,Mar 06
Togo,25,0,1,0,1,23,0,3.0,0.1,Mar 05
Dominica,11,0,0,0,0,11,0,153.0,0.0,Mar 21
Cabo Verde,5,0,1,0,0,4,0,9.0,2.0,Mar 19
Mali,11,0,0,0,0,11,0,0.5,0.0,Mar 24
Mauritius,94,0,2,0,0,92,1,74.0,2.0,Mar 17
Iraq,458,0,40,0,122,296,0,11.0,1.0,Feb 21
Serbia,528,0,8,0,42,478,25,60.0,0.9,Mar 05
Moldova,199,0,2,0,2,195,33,49.0,0.5,Mar 06
Belgium,7284,0,289,0,858,6137,690,628.0,25.0,Feb 03
Equatorial Guinea,12,0,0,0,0,12,0,9.0,0.0,Mar 13
Gambia,3,0,1,0,0,2,0,1.0,0.4,Mar 16
Chad,3,0,0,0,0,3,0,0.2,0.0,Mar 18
Cambodia,99,0,0,0,13,86,1,6.0,0.0,Jan 26
Japan,1499,0,49,0,372,1078,56,12.0,0.4,Jan 14
Saudi Arabia,1104,0,3,0,35,1066,6,32.0,0.09,Mar 01
Uzbekistan,104,16,2,1,5,97,8,3.0,0.06,Mar 14
Denmark,2046,0,52,0,1,1993,109,353.0,9.0,Feb 26
Chile,1610,0,5,0,43,1562,7,84.0,0.3,Mar 02
Panama,786,0,14,0,2,770,20,182.0,3.0,Mar 09
Sint Maarten,3,0,0,0,0,3,0,70.0,0.0,Mar 17
UK,14543,0,759,0,135,13649,163,214.0,11.0,Jan 30
Finland,1165,124,7,0,10,1148,32,210.0,1.0,Jan 28
Zimbabwe,5,0,1,0,0,4,0,0.3,0.07,Mar 19
Jordan,235,0,1,0,18,216,0,23.0,0.1,Mar 01
Kenya,31,0,1,0,1,29,2,0.6,0.02,Mar 12
Argentina,690,101,17,4,72,601,0,15.0,0.4,Mar 02
Ethiopia,16,0,0,0,0,16,0,0.1,0.0,Mar 12
Faeroe Islands,144,0,0,0,54,90,2,2947.0,0.0,Mar 03
El Salvador,19,6,0,0,0,19,0,3.0,0.0,Mar 18
North Macedonia,219,0,3,0,3,213,1,105.0,1.0,Feb 25
Qatar,562,0,0,0,43,519,6,195.0,0.0,Feb 28
Namibia,8,0,0,0,2,6,0,3.0,0.0,Mar 13
Nigeria,81,11,1,0,3,77,0,0.4,0.0,Feb 27
Pakistan,1408,35,11,0,25,1372,7,6.0,0.05,Feb 25
Turkey,5698,0,92,0,42,5564,241,68.0,1.0,Mar 09
New Caledonia,15,0,0,0,0,15,0,53.0,0.0,Mar 17
Madagascar,26,0,0,0,0,26,0,0.9,0.0,Mar 19
Canada,4757,0,55,0,354,4348,120,126.0,1.0,Jan 24
Aruba,33,0,0,0,1,32,0,309.0,0.0,Mar 12
Kazakhstan,204,54,1,0,14,189,0,11.0,0.05,Mar 12
Papua New Guinea,1,0,0,0,0,1,0,0.1,0.0,Mar 19
Vietnam,169,6,0,0,20,149,3,2.0,0.0,Jan 22
Mexico,717,132,12,4,4,701,1,6.0,0.09,Feb 27
Armenia,372,43,1,0,28,343,6,126.0,0.3,Feb 29
France,32964,0,1995,0,5700,25269,3787,505.0,31.0,Jan 23
Italy,86498,0,9134,0,10950,66414,3732,1431.0,151.0,Jan 29
Laos,6,0,0,0,0,6,0,0.8,0.0,Mar 23
Bermuda,17,0,0,0,2,15,0,273.0,0.0,Mar 17
Gibraltar,55,0,0,0,14,41,0,1632.0,0.0,Mar 02
DRC,51,0,3,0,2,46,0,0.6,0.03,Mar 09
Bahrain,473,7,4,0,254,215,1,278.0,2.0,Feb 23
Malta,139,0,0,0,2,137,1,315.0,0.0,Mar 06
Palestine,91,0,1,0,17,73,0,18.0,0.2,Mar 04
Montserrat,5,0,0,0,0,5,0,1002.0,0.0,Mar 17
Australia,3635,257,14,1,170,3451,23,143.0,0.5,Jan 24
Greenland,10,0,0,0,2,8,0,176.0,0.0,Mar 15
UAE,405,0,2,0,52,351,2,41.0,0.2,Jan 28
Dominican Republic,581,0,20,0,3,558,0,54.0,2.0,Feb 29
Spain,65719,0,5138,0,9357,51224,4165,1406.0,110.0,Jan 30
Azerbaijan,165,0,3,0,15,147,6,16.0,0.3,Feb 27
S. Korea,9478,146,144,5,4811,4523,59,185.0,3.0,Jan 19
Colombia,539,0,6,0,10,523,0,11.0,0.1,Mar 05
Mauritania,5,2,0,0,0,5,0,1.0,0.0,Mar 12
Uruguay,274,36,0,0,0,274,8,79.0,0.0,Mar 12
St. Barth,5,0,0,0,0,5,0,506.0,0.0,Feb 29
Cyprus,162,0,5,0,15,142,3,134.0,4.0,Mar 08
Nicaragua,4,0,1,0,0,3,0,0.6,0.2,Mar 18
Macao,34,0,0,0,10,24,0,52.0,0.0,Jan 21
Mozambique,7,0,0,0,0,7,0,0.2,0.0,Mar 21
Curaçao,8,0,1,0,2,5,0,49.0,6.0,Mar 12
Ivory Coast,101,0,0,0,3,98,0,4.0,0.0,Mar 10
Timor-Leste,1,0,0,0,0,1,0,0.8,0.0,Mar 20
Kyrgyzstan,58,0,0,0,0,58,0,9.0,0.0,Mar 17
Mongolia,12,1,0,0,0,12,0,4.0,0.0,Mar 09
